webSite_id,webSite
1,http://www.footmercato.net
2,http://9gag.com
3,http://www.polymtl.ca
4,https://moodle.polymtl.ca
5,https://www.imp.polymtl.ca
6,https://webmail.minesdedouai.fr
7,https://mail.google.com
8,http://facebook.com
9,https://dossieretudiant.polymtl.ca
10,http://www.koreus.com
11,https://fr.wikipedia.org
12,https://github.com
13,http://www.groupes.polymtl.ca/log6308/index.php
14,http://www.apple.com
15,https://www.microsoft.com
16,https://twitter.com
17,https://www.jamendo.com
18,https://www.deezer.com
19,http://www.clubic.com
20,http://www.lemonde.fr
21,http://www.lequipe.fr
22,http://www.liberation.fr
23,http://fr.euronews.com
24,http://www.samsung.com
25,https://www.spotify.com
26,http://ici.radio-canada.ca
27,http://www.tf1.fr
28,http://www.lefigaro.fr
29,http://www.france2.fr
30,http://www.6play.fr
31,http://www.lesechos.fr
32,http://www.france3.fr
33,http://www.canalplus.fr
34,http://www.ledevoir.com
35,https://en-marche.fr
36,http://www.legorafi.fr
37,http://www.studiobagel.com
38,http://www.goldenmoustache.com
39,https://www.origin.com
40,http://www.melty.fr
41,http://www.millenium.org
42,http://store.steampowered.com
43,http://stackoverflow.com
44,http://www.openclassrooms.com
45,https://www.linkedin.com
46,https://www.dropbox.com
47,https://drive.google.com
48,http://www.cic.gc.ca
49,http://www.consulfrance-montreal.org
50,http://www.nytimes.com
51,http://www.economist.com
52,http://www.marmiton.org
53,https://www.elamp.fr
54,https://slack.com
55,https://www.e-180.com
